hidden_size,num_hidden_layers,num_attention_heads,intermediate_size,dropout_prob,learning_rate,batch_size,use_flash_attention,use_swiglu,use_rope,use_rms_norm,accuracy,f1,loss,perplexity,inference_time_ms,model_size_mb,total_parameters,final_train_loss
128,6,2,512,0.2,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6805199761390686,1.9749043684426817,3.2448530197143555,20.94983673095703,5491842,0.6976902186870575
128,6,2,512,0.2,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6816026096343994,1.9770436238678712,2.512693405151367,20.95618438720703,5493506,0.7061433494091034
128,6,2,512,0.2,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6823359489440918,1.9784939994179331,2.6403427124023438,19.43811798095703,5095554,0.6959644258022308
128,6,2,512,0.2,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6843421697616577,1.982467279572997,2.3438453674316406,19.44446563720703,5097218,0.6959258131682873
128,6,2,1024,0.1,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6826298189163208,1.9790755048339028,3.4139394760131836,25.47327423095703,6677634,0.6920650154352188
128,6,2,1024,0.1,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6845512909889221,1.9828818989148544,2.779865264892578,25.47962188720703,6679298,0.6964758560061455
128,6,2,1024,0.1,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6813153657913208,1.97647581181358,2.983403205871582,22.44983673095703,5885058,0.6917418763041496
128,6,2,1024,0.1,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6860196461677551,1.9857956124798282,2.3024797439575195,22.45618438720703,5886722,0.6909108534455299
128,6,2,1024,0.2,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6838968782424927,1.9815847002235139,3.621077537536621,25.47327423095703,6677634,0.6935890503227711
128,6,2,1024,0.2,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6845703535079956,1.9829196979991446,2.4042606353759766,25.47962188720703,6679298,0.7065013647079468
128,6,2,1024,0.2,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6806826868057251,1.9752257325930325,3.228425979614258,22.44983673095703,5885058,0.6948588415980339
128,6,2,1024,0.2,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6846688508987426,1.9831150200346561,2.2136926651000977,22.45618438720703,5886722,0.6942168287932873
128,6,4,256,0.1,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6807887587547302,1.975435259748494,3.1560182571411133,18.68805694580078,4898946,0.6931477710604668
128,6,4,256,0.1,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6845615615844727,1.9829022643974454,2.5199413299560547,18.69440460205078,4900610,0.6913170516490936
128,6,4,256,0.1,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6837061276435852,1.9812067478036315,2.929353713989258,17.93219757080078,4700802,0.6920132897794247
128,6,4,256,0.1,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6810179915428162,1.9758881461869968,1.9527912139892578,17.93854522705078,4702466,0.6923342980444431
128,6,4,256,0.2,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6816001057624816,1.9770386736100587,3.3493757247924805,18.68805694580078,4898946,0.695330124348402
128,6,4,256,0.2,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6805182151794433,1.9749008907188872,2.4981260299682617,18.69440460205078,4900610,0.7021730914711952
128,6,4,256,0.2,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6803697690963745,1.9746077461758287,2.927517890930176,17.93219757080078,4700802,0.6910676136612892
128,6,4,256,0.2,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6808445601463318,1.9755454948606146,2.2476911544799805,17.93854522705078,4702466,0.6915955916047096
128,6,4,512,0.1,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6816363677978515,1.9771103663562233,2.9955387115478516,20.94977569580078,5491842,0.6927661299705505
128,6,4,512,0.1,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6806128025054932,1.9750877001481166,2.6509761810302734,20.95612335205078,5493506,0.6968543007969856
128,6,4,512,0.1,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6802454476356506,1.9743622753154317,2.972555160522461,19.43805694580078,5095554,0.6940177902579308
128,6,4,512,0.1,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6839997525215149,1.981788564806902,2.134227752685547,19.44440460205078,5097218,0.6964613534510136
128,6,4,512,0.2,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6817828364372254,1.9773999722300468,3.3432960510253906,20.94977569580078,5491842,0.7028426378965378
128,6,4,512,0.2,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6825853366851806,1.9789874730977914,2.4404048919677734,20.95612335205078,5493506,0.6947418451309204
128,6,4,512,0.2,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6857317852973938,1.9852240618939314,2.8727054595947266,19.43805694580078,5095554,0.6851136647164822
128,6,4,512,0.2,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6814145808219909,1.97667191765003,1.9857406616210935,19.44440460205078,5097218,0.6993771940469742
128,6,4,1024,0.1,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6807009649276733,1.9752618363398013,3.360438346862793,25.47321319580078,6677634,0.6973201222717762
128,6,4,1024,0.1,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6809519262313842,1.975757612833175,2.3651838302612305,25.47956085205078,6679298,0.690439697355032
128,6,4,1024,0.1,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6805665264129639,1.9749963029217208,2.927088737487793,22.44977569580078,5885058,0.6907948330044746
128,6,4,1024,0.1,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6849978246688843,1.9837675201812532,1.9394874572753906,22.45612335205078,5886722,0.6966379880905151
128,6,4,1024,0.2,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6822602486610413,1.9783442325309328,2.981114387512207,25.47321319580078,6677634,0.6921082362532616
128,6,4,1024,0.2,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6852182416915894,1.9842048245046788,2.384185791015625,25.47956085205078,6679298,0.6984344944357872
128,6,4,1024,0.2,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6808192620277405,1.9754955179085671,3.1281232833862305,22.44977569580078,5885058,0.6966466754674911
128,6,4,1024,0.2,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6807618656158447,1.9753821348080458,2.070188522338867,22.45612335205078,5886722,0.6852063946425915
256,2,2,256,0.1,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6802864799499512,1.9744432896309467,1.2958526611328125,33.32935333251953,8737026,0.6937424913048744
256,2,2,256,0.1,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6816189107894898,1.9770758522252834,0.8025884628295898,33.33423614501953,8738306,0.6980758532881737
256,2,2,256,0.1,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6800221905708314,1.9739215341900704,1.0276317596435547,32.82740020751953,8605442,0.7021371722221375
256,2,2,256,0.1,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6814170217514038,1.9766767425725422,0.7504463195800781,32.83228302001953,8606722,0.7021617628633976
256,2,2,256,0.2,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6795744180679322,1.9730378642604924,1.001119613647461,33.32935333251953,8737026,0.7017303332686424
256,2,2,256,0.2,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6792532415390015,1.9724042725606383,0.5665779113769531,33.33423614501953,8738306,0.6983273290097713
